学号,lab1代码成绩,lab1报告成绩 ,challenge,总成绩,lab1备注
2012010981,0,0,0,0,未提交实验
2012011344,0,0,0,0,未提交实验
2012011347,0,0,0,0,未提交实验
2012011403,40,75,5,95,
2012012407,0,0,0,0,未提交实验
2012012439,0,0,0,0,未提交实验
2012030045,10,85,0,49,
2013010199,0,0,0,0,未提交实验
2013010936,0,0,0,0,未提交实验
2013010952,40,80,0,92,
2013011298,0,75,0,30,
2013011299,0,0,0,0,未提交实验
2013011315,40,85,0,94,
2013011316,10,80,0,47,
2013011320,0,0,0,0,未提交实验
2013011321,10,80,0,47,
2013011322,40,80,0,92,
2013011333,30,80,0,77,
2013011346,10,80,0,47,
2013011354,10,80,0,47,
2013011394,0,0,0,0,未提交实验
2013011432,40,80,5,97,
2013011635,10,80,0,47,
2013011665,10,80,0,47,
2013011697,0,0,0,0,未提交实验
2013011812,10,80,0,47,
2013012291,40,90,5,101,
2013012408,10,85,0,49,
2013012411,0,0,0,0,未提交实验
2013080074,0,75,0,30,代码编译错误
2014010257,40,80,5,97,
2014010475,0,0,0,0,未提交实验
2014010803,0,90,0,36,
2014010881,40,95,10,108,
2014011119,0,0,0,0,未提交实验
2014011245,10,85,0,49,
2014011293,0,80,0,32,
2014011294,10,80,0,47,
2014011298,10,85,0,49,
2014011302,10,75,0,45,
2014011303,40,85,10,104,
2014011311,10,85,0,49,
2014011313,10,80,0,47,
2014011315,10,85,0,49,
2014011318,10,90,0,51,
2014011319,10,80,0,47,
2014011326,10,80,0,47,
2014011331,10,80,0,47,
2014011333,40,85,5,99,
2014011336,10,95,0,53,
2014011339,10,80,0,47,
2014011340,10,80,0,47,
2014011342,40,85,5,99,
2014011346,40,85,10,104,
2014011347,10,80,0,47,
2014011348,10,0,0,15,报告为空
2014011349,10,85,0,49,
2014011350,10,85,0,49,
2014011354,0,0,0,0,未提交实验
2014011355,30,80,0,77,
2014011357,10,85,0,49,
2014011365,10,85,0,49,
2014011369,10,90,0,51,
2014011371,10,80,0,47,
2014011372,10,80,0,47,
2014011374,10,90,0,51,
2014011389,10,80,0,47,
2014011390,10,80,0,47,
2014011391,10,90,0,51,
2014011395,10,85,0,49,
2014011401,40,85,5,99,
2014011408,10,85,0,49,
2014011410,10,90,0,51,
2014011418,10,85,0,49,
2014011423,10,80,0,47,
2014011448,40,85,5,99,
2014011492,40,80,5,97,
2014011971,0,0,0,0,未提交实验
2014012207,0,0,0,0,未提交实验
2014080041,10,80,0,47,
2014080042,0,80,0,32,代码文件不完整
2015011352,10,85,0,49,
2015011369,40,80,5,97,
2016011279,10,75,0,45,
